task,rmse,relative,runs
mAdd,148.88044518558863,5.075346270365205,5
mAdd2,0.3204175583883882,0.546997051449148,5
mBackground,1.0015364700797176,1.0516500361698804,5
mBgModel,1058.3903707835652,9.333125807308717,5
mConcatFit,198.32462870072766,5.864201396416304,5
mDiffFit,0.48237693750581057,0.6643327038691955,5
mImgtbl,5.013464532307302,2.1321546153047057,5
mImgtbl2,0.30734529385300646,0.8003840270005046,5
mJPEG,0.6170890764973753,0.5820493205378842,5
mProjectPP,2.564694435525497,0.5794894911685458,5
mShrink,32.59541179237194,5.04786121788809,5
