task,rmse,absDivMean,relative,runs
mAdd,217.1721820390386,0.7419480817742982,1.692184676404843,1
mAdd2,0.3508105781855533,0.4990811205098056,0.5612576749928553,1
mBackground,1.194912632381399,0.7130034055980045,1.410211109892285,1
mBgModel,1080.316649004024,0.735108414271257,0.7318428796225418,1
mConcatFit,204.0255712901037,0.6485545998274985,0.6843345218134023,1
mDiffFit,0.5530999877048088,0.6782061048485662,0.9083998071780103,1
mImgtbl,5.241102806781021,0.8229491204835792,2.17201926485751,1
mImgtbl2,0.4161521703352837,0.6629415659588317,0.8470919989878049,1
mJPEG,0.548831656105721,0.4588764980490737,0.4732507616402807,1
mProjectPP,2.812948640712844,0.591157344774365,0.5989298402286456,1
mShrink,36.78186333560704,0.8719348878425528,4.460004809751705,1
